"index"	"food_item"	"count"	"date"
56	"onion"	4	2015-06-24 13:10:52
57	"onion"	4	2015-10-17 17:46:30
58	"tomato"	1	2015-07-11 17:32:26
59	"tomato"	2	2015-10-04 20:10:32
60	"onion"	5	2015-08-07 19:08:47
61	"pineapple"	1	2015-08-24 07:19:39
62	"tomato"	2	2015-08-08 19:01:30
63	"onion"	6	2015-08-08 17:04:12
64	"tomato"	1	2015-10-29 09:24:29
65	"tomato"	2	2015-10-03 10:43:16
66	"tomato"	4	2015-09-12 18:31:54
67	"tomato"	3	2015-09-14 19:48:46
68	"tomato"	3	2015-07-26 15:50:20
69	"tomato"	3	2015-10-23 13:32:10
70	"tomato"	2	2015-10-19 18:55:49
71	"onion"	4	2015-10-04 20:01:09
72	"onion"	4	2015-09-19 12:12:05
73	"onion"	4	2015-09-24 16:24:46
74	"onion"	7	2015-11-01 15:57:26
75	"tomato"	2	2015-06-19 19:29:01
76	"onion"	6	2015-09-02 15:21:59
77	"onion"	5	2015-10-06 19:49:41
78	"tomato"	2	2015-11-07 21:45:58
79	"onion"	8	2015-07-04 13:46:23
80	"onion"	9	2015-09-20 21:31:54
81	"tomato"	1	2015-11-06 15:35:10
82	"pineapple"	4	2015-10-06 08:30:49
83	"onion"	2	2015-10-07 16:29:33
84	"tomato"	2	2015-07-14 20:32:46
85	"onion"	7	2015-10-26 17:00:20
86	"tomato"	1	2015-07-18 21:16:05
87	"onion"	6	2015-10-03 15:26:51
88	"onion"	4	2015-09-19 13:07:21
89	"pineapple"	1	2015-06-20 08:13:01
90	"pineapple"	2	2015-08-24 06:59:05
91	"tomato"	2	2015-08-15 09:01:22
92	"pineapple"	1	2015-07-05 07:34:48
93	"onion"	5	2015-06-20 11:08:04
94	"onion"	4	2015-10-10 13:12:28
95	"tomato"	3	2015-11-03 13:01:12
96	"onion"	4	2015-11-07 11:30:36
97	"tomato"	1	2015-10-19 15:22:55
98	"pineapple"	1	2015-07-18 09:04:39
99	"onion"	3	2015-10-24 17:35:59
100	"tomato"	3	2015-06-21 19:22:11
101	"tomato"	2	2015-09-04 16:46:57
102	"onion"	5	2015-08-28 21:54:16
103	"onion"	8	2015-07-01 17:18:06
104	"pineapple"	3	2015-09-26 08:07:13
105	"pineapple"	2	2015-07-19 08:19:52
106	"pineapple"	2	2015-08-03 08:16:41
107	"tomato"	3	2015-09-06 15:26:45
108	"tomato"	2	2015-09-20 12:15:06
109	"onion"	7	2015-09-20 19:20:39
110	"onion"	1	2015-06-18 15:52:43
111	"tomato"	2	2015-10-29 08:55:14
112	"onion"	7	2015-07-10 17:15:20
113	"tomato"	3	2015-08-23 15:20:38
114	"pineapple"	1	2015-06-14 10:13:48
115	"tomato"	3	2015-06-18 17:02:29
116	"tomato"	2	2015-06-23 12:05:34
117	"onion"	5	2015-06-28 21:19:25
118	"onion"	4	2015-07-19 18:06:46
119	"pineapple"	1	2015-06-28 08:18:49
120	"pineapple"	2	2015-08-07 08:48:21
121	"tomato"	2	2015-08-16 07:21:06
122	"onion"	6	2015-10-15 19:09:10
123	"tomato"	2	2015-08-02 14:24:18
124	"onion"	2	2015-06-16 19:14:36
125	"pineapple"	1	2015-11-06 06:10:56
126	"pineapple"	2	2015-06-29 07:01:59
127	"tomato"	2	2015-08-07 11:20:55
128	"tomato"	3	2015-07-21 17:16:19
129	"pineapple"	2	2015-09-05 07:15:24
130	"pineapple"	1	2015-07-12 08:00:19
131	"onion"	3	2015-07-21 21:08:59
132	"onion"	4	2015-08-18 17:00:38
133	"onion"	5	2015-08-15 18:10:05
134	"tomato"	1	2015-10-30 20:16:21
135	"tomato"	3	2015-09-08 21:55:34
136	"pineapple"	1	2015-06-20 11:10:21
137	"tomato"	2	2015-07-01 09:59:50
138	"tomato"	1	2015-08-11 21:53:16
139	"tomato"	2	2015-10-06 13:50:14
140	"onion"	4	2015-10-11 16:29:34
141	"tomato"	2	2015-11-06 21:33:09
142	"onion"	5	2015-07-10 20:12:12
143	"pineapple"	1	2015-10-01 14:02:46
144	"tomato"	2	2015-09-07 16:07:38
145	"pineapple"	3	2015-10-24 07:50:17
146	"pineapple"	1	2015-09-05 07:51:10
147	"onion"	5	2015-07-21 12:38:17
148	"pineapple"	1	2015-06-17 08:54:19
149	"onion"	6	2015-07-29 18:18:59
150	"tomato"	1	2015-07-05 07:16:43
151	"tomato"	1	2015-10-24 18:39:07
152	"onion"	6	2015-09-19 15:39:40
153	"onion"	3	2015-09-25 15:11:45
154	"tomato"	2	2015-07-03 21:03:02
155	"pineapple"	1	2015-09-10 09:21:03
156	"tomato"	3	2015-10-24 14:56:55
157	"onion"	4	2015-09-06 17:52:18
158	"onion"	2	2015-07-20 16:22:37
159	"onion"	7	2015-09-06 16:01:27
160	"onion"	5	2015-08-21 13:16:42
161	"onion"	4	2015-07-03 16:06:47
162	"tomato"	2	2015-09-06 15:46:45
163	"tomato"	2	2015-08-03 20:33:11
164	"onion"	3	2015-08-29 12:13:46
165	"onion"	3	2015-09-05 19:03:08
166	"onion"	8	2015-06-28 18:24:25
167	"onion"	6	2015-10-10 18:16:25
168	"onion"	4	2015-11-02 19:17:52
169	"pineapple"	2	2015-09-16 09:25:33
170	"onion"	8	2015-10-16 20:24:47
171	"onion"	7	2015-08-05 16:32:19
172	"onion"	5	2015-06-21 18:29:15
173	"onion"	7	2015-08-02 17:06:47
174	"onion"	4	2015-10-24 17:40:28
175	"onion"	4	2015-07-01 18:14:35
176	"onion"	5	2015-09-08 20:24:15
177	"tomato"	2	2015-10-07 16:59:27
178	"pineapple"	1	2015-09-18 11:33:33
179	"onion"	7	2015-10-30 17:09:12
180	"tomato"	3	2015-09-04 15:14:25
181	"tomato"	1	2015-09-26 18:16:32
182	"pineapple"	1	2015-08-31 07:47:00
183	"tomato"	2	2015-10-23 19:27:29
184	"onion"	4	2015-10-26 20:19:47
185	"pineapple"	1	2015-08-31 11:22:05
186	"onion"	7	2015-09-10 17:20:50
187	"tomato"	2	2015-09-08 13:50:47
188	"pineapple"	1	2015-09-18 09:59:46
189	"tomato"	3	2015-08-05 17:28:44
190	"onion"	7	2015-08-16 14:44:35
191	"pineapple"	2	2015-08-16 10:25:40
192	"onion"	3	2015-09-26 15:53:50
193	"onion"	4	2015-07-17 10:06:10
194	"tomato"	1	2015-09-20 18:42:33
195	"pineapple"	1	2015-07-19 08:15:02
196	"onion"	5	2015-08-23 17:52:11
197	"onion"	7	2015-09-04 17:53:47
198	"tomato"	2	2015-08-17 14:01:15
199	"tomato"	1	2015-08-07 08:07:50
200	"onion"	6	2015-09-15 15:05:59
201	"onion"	8	2015-10-17 17:48:34
202	"onion"	3	2015-09-27 15:09:15
203	"tomato"	2	2015-09-13 19:18:48
204	"onion"	9	2015-11-01 19:49:29
205	"onion"	8	2015-08-09 18:19:19
206	"onion"	4	2015-07-19 17:31:20
207	"tomato"	2	2015-10-15 06:44:31
208	"tomato"	2	2015-07-12 17:59:12
209	"onion"	2	2015-10-10 17:54:20
210	"onion"	7	2015-07-03 12:40:22
211	"onion"	4	2015-08-13 20:15:11
212	"pineapple"	2	2015-09-22 06:45:15
213	"tomato"	1	2015-08-08 14:01:03
214	"tomato"	3	2015-08-29 20:17:46
215	"onion"	6	2015-07-22 19:10:23
216	"onion"	8	2015-08-27 14:04:55
217	"onion"	2	2015-06-24 18:01:19
218	"onion"	5	2015-07-18 18:03:22
219	"onion"	8	2015-08-05 16:46:18
220	"pineapple"	1	2015-06-20 12:02:19
221	"pineapple"	1	2015-06-23 10:26:08
222	"onion"	5	2015-08-08 13:43:38
223	"tomato"	3	2015-10-09 06:06:57
224	"pineapple"	2	2015-10-05 07:52:02
225	"onion"	2	2015-08-26 12:36:23
226	"tomato"	1	2015-07-23 15:22:37
227	"pineapple"	1	2015-07-13 07:27:17
228	"onion"	3	2015-08-21 16:36:59
229	"onion"	1	2015-09-13 16:26:46
230	"onion"	5	2015-09-18 17:41:51
231	"pineapple"	2	2015-09-21 07:56:36
232	"tomato"	2	2015-08-27 20:19:25
233	"pineapple"	3	2015-10-29 08:49:22
234	"onion"	4	2015-10-27 10:35:16
235	"onion"	8	2015-09-30 17:21:27
236	"onion"	7	2015-10-04 20:01:30
237	"onion"	2	2015-06-15 12:53:25
238	"tomato"	1	2015-07-12 19:59:16
239	"pineapple"	1	2015-07-16 11:23:29
240	"onion"	3	2015-07-02 18:36:43
241	"pineapple"	2	2015-07-05 09:19:51
242	"pineapple"	2	2015-09-20 09:33:03
243	"tomato"	2	2015-08-08 15:07:42
244	"onion"	3	2015-08-18 14:24:54
245	"onion"	8	2015-06-23 13:53:27
246	"pineapple"	1	2015-09-02 06:23:55
247	"onion"	2	2015-11-01 17:37:18
248	"onion"	6	2015-09-28 14:35:35
249	"onion"	6	2015-09-28 13:03:29
250	"onion"	3	2015-10-29 17:01:18
251	"onion"	8	2015-06-24 18:55:04
252	"onion"	6	2015-10-16 18:10:18
253	"pineapple"	1	2015-09-24 08:14:45
254	"tomato"	2	2015-08-24 10:01:58
255	"onion"	4	2015-09-23 13:36:55
256	"onion"	6	2015-09-13 12:04:57
257	"onion"	2	2015-10-27 18:30:27
258	"onion"	6	2015-08-23 20:32:40
259	"onion"	6	2015-08-01 20:03:37
260	"pineapple"	1	2015-08-24 07:47:46
261	"tomato"	1	2015-09-09 16:09:42
262	"tomato"	2	2015-08-31 15:50:48
263	"onion"	4	2015-06-27 19:31:49
264	"tomato"	1	2015-11-02 11:46:37
265	"pineapple"	1	2015-07-02 09:52:32
266	"pineapple"	1	2015-10-01 08:37:38
267	"onion"	8	2015-10-25 15:41:20
268	"onion"	8	2015-08-05 19:46:29
269	"onion"	5	2015-06-15 20:33:42
270	"onion"	6	2015-07-31 19:22:12
271	"pineapple"	1	2015-10-10 08:21:49
272	"onion"	4	2015-08-23 15:31:18
273	"tomato"	1	2015-09-12 14:48:58
274	"onion"	8	2015-07-01 18:19:46
275	"tomato"	3	2015-06-23 16:59:35
276	"tomato"	3	2015-10-22 16:32:28
277	"tomato"	1	2015-07-26 13:52:23
278	"pineapple"	3	2015-06-21 12:14:11
279	"tomato"	2	2015-10-13 09:08:19
280	"tomato"	3	2015-09-16 10:48:50
281	"tomato"	2	2015-08-16 09:17:05
282	"onion"	5	2015-11-05 14:58:55
283	"onion"	3	2015-08-16 19:55:32
284	"tomato"	2	2015-07-11 13:02:31
285	"onion"	8	2015-08-31 17:32:12
286	"pineapple"	1	2015-08-08 12:03:49
287	"tomato"	1	2015-09-17 14:07:12
288	"onion"	6	2015-10-22 19:07:18
289	"onion"	5	2015-09-12 15:04:52
290	"pineapple"	3	2015-10-09 09:20:40
291	"onion"	3	2015-10-15 17:42:02
292	"pineapple"	2	2015-08-04 06:54:49
293	"pineapple"	1	2015-10-30 09:43:05
294	"onion"	7	2015-08-25 21:14:25
295	"tomato"	2	2015-07-26 15:29:25
296	"onion"	5	2015-06-21 17:35:13
297	"tomato"	3	2015-09-11 16:50:15
298	"tomato"	2	2015-06-18 09:49:26
299	"pineapple"	2	2015-09-10 06:58:18
300	"pineapple"	1	2015-08-18 09:01:03
301	"onion"	5	2015-07-03 17:03:33
302	"onion"	6	2015-07-27 14:21:29
303	"tomato"	2	2015-08-05 06:41:25
304	"tomato"	2	2015-06-25 19:22:30
305	"onion"	3	2015-07-18 19:31:21
306	"tomato"	4	2015-09-09 14:05:29
307	"tomato"	5	2015-07-04 14:42:09
308	"tomato"	3	2015-10-16 15:21:28
309	"onion"	4	2015-09-03 15:40:12
310	"onion"	7	2015-10-23 20:39:55
311	"onion"	3	2015-07-20 20:23:19
312	"tomato"	2	2015-06-27 14:42:03
313	"onion"	2	2015-08-30 19:29:03
314	"onion"	10	2015-07-03 16:27:39
315	"tomato"	3	2015-10-30 16:11:32
316	"onion"	7	2015-11-01 19:25:26
317	"onion"	4	2015-09-15 17:51:11
318	"onion"	8	2015-07-12 19:10:41
319	"tomato"	1	2015-06-28 14:27:09
320	"onion"	2	2015-08-05 21:53:50
321	"onion"	4	2015-07-12 16:20:20
322	"onion"	3	2015-10-24 20:36:19
323	"onion"	6	2015-07-01 12:40:54
324	"tomato"	3	2015-07-12 18:43:19
325	"pineapple"	2	2015-06-23 09:30:34
326	"pineapple"	2	2015-11-03 10:30:26
327	"tomato"	1	2015-10-29 19:31:42
328	"onion"	4	2015-06-17 12:55:22
329	"pineapple"	3	2015-10-28 07:37:26
330	"onion"	3	2015-09-09 16:42:16
331	"onion"	9	2015-08-18 14:46:59
332	"pineapple"	2	2015-07-06 10:24:24
333	"tomato"	2	2015-07-02 12:32:36
334	"tomato"	3	2015-08-31 20:55:38
335	"onion"	3	2015-09-27 20:27:05
336	"onion"	7	2015-11-01 18:53:32
337	"onion"	8	2015-06-20 16:58:47
338	"onion"	7	2015-10-07 14:22:39
339	"tomato"	2	2015-10-30 18:52:28
340	"onion"	6	2015-07-30 19:10:14
341	"onion"	4	2015-08-16 20:44:38
342	"tomato"	2	2015-11-05 16:55:56
343	"tomato"	2	2015-09-15 11:56:54
344	"tomato"	3	2015-10-10 17:42:08
345	"onion"	3	2015-10-05 19:21:39
346	"onion"	4	2015-11-03 14:00:12
347	"onion"	3	2015-08-06 14:48:49
348	"tomato"	3	2015-07-20 20:04:43
349	"tomato"	2	2015-08-10 15:13:08
350	"onion"	6	2015-11-07 16:45:48
351	"onion"	7	2015-08-12 13:51:23
352	"onion"	5	2015-09-07 18:53:10
353	"onion"	7	2015-06-30 21:29:33
354	"tomato"	3	2015-07-09 07:34:12
355	"onion"	3	2015-10-21 17:06:06
356	"tomato"	2	2015-07-26 16:03:52
357	"pineapple"	3	2015-10-24 10:41:30
358	"onion"	9	2015-09-09 21:19:30
359	"pineapple"	1	2015-09-24 11:09:58
360	"tomato"	3	2015-09-22 13:39:28
361	"tomato"	3	2015-06-27 10:13:31
362	"tomato"	2	2015-09-21 18:05:18
363	"onion"	4	2015-08-09 20:48:55
364	"onion"	3	2015-10-21 15:53:11
365	"tomato"	4	2015-06-29 18:09:41
366	"tomato"	3	2015-09-29 14:21:51
367	"tomato"	3	2015-10-03 21:11:29
368	"pineapple"	1	2015-07-31 13:18:49
369	"onion"	7	2015-08-26 18:38:31
370	"tomato"	2	2015-07-25 13:20:52
371	"tomato"	2	2015-09-02 08:06:32
372	"onion"	5	2015-09-16 15:01:42
373	"pineapple"	1	2015-06-16 12:00:27
374	"onion"	4	2015-07-02 19:45:04
375	"tomato"	2	2015-06-19 16:13:57
376	"tomato"	2	2015-09-26 06:12:31
377	"onion"	6	2015-09-10 20:29:14
378	"onion"	4	2015-06-16 18:14:27
379	"tomato"	3	2015-06-24 18:31:36
380	"onion"	4	2015-08-20 16:35:50
381	"onion"	2	2015-07-31 15:39:10
382	"onion"	3	2015-08-03 20:54:11
383	"onion"	5	2015-07-15 17:00:11
384	"onion"	3	2015-10-02 16:15:19
385	"pineapple"	2	2015-10-03 07:26:10
386	"onion"	4	2015-08-13 13:52:51
387	"tomato"	3	2015-08-23 10:29:33
388	"tomato"	1	2015-07-22 09:32:10
389	"tomato"	2	2015-08-01 16:18:09
390	"tomato"	3	2015-07-30 07:06:06
391	"onion"	6	2015-10-14 18:31:48
392	"onion"	4	2015-10-07 13:14:54
393	"tomato"	1	2015-10-13 19:02:40
394	"tomato"	2	2015-09-06 07:33:12
395	"tomato"	2	2015-09-29 18:44:24
396	"tomato"	2	2015-11-04 17:25:30
397	"onion"	5	2015-08-25 18:10:22
398	"tomato"	3	2015-09-16 19:37:30
399	"tomato"	3	2015-07-24 11:59:15
400	"tomato"	2	2015-06-18 16:23:53
401	"onion"	7	2015-06-21 20:31:56
402	"onion"	6	2015-08-22 16:52:46
403	"pineapple"	2	2015-10-04 07:47:41
404	"onion"	1	2015-09-28 16:12:07
405	"onion"	5	2015-09-28 17:48:53
406	"onion"	6	2015-10-23 17:06:07
407	"pineapple"	3	2015-07-10 08:45:07
408	"tomato"	3	2015-10-16 18:17:24
409	"tomato"	3	2015-10-06 17:58:51
410	"tomato"	1	2015-06-26 12:38:03
411	"onion"	5	2015-11-01 20:26:30
412	"onion"	6	2015-10-26 21:14:17
413	"tomato"	3	2015-10-25 10:38:48
414	"tomato"	2	2015-08-13 17:34:46
415	"pineapple"	3	2015-10-01 09:33:15
416	"pineapple"	1	2015-08-01 09:17:28
417	"onion"	4	2015-09-17 18:32:22
418	"onion"	3	2015-06-29 17:40:52
419	"tomato"	1	2015-10-28 09:17:49
420	"tomato"	3	2015-09-22 15:25:08
421	"tomato"	2	2015-09-03 19:45:33
422	"onion"	2	2015-08-10 21:39:16
423	"tomato"	2	2015-06-19 18:27:53
424	"pineapple"	2	2015-06-16 08:18:43
425	"tomato"	3	2015-10-04 20:09:47
426	"onion"	2	2015-07-27 21:05:15
427	"tomato"	1	2015-10-27 08:02:20
428	"tomato"	2	2015-07-04 21:02:56
429	"pineapple"	2	2015-08-13 10:23:25
430	"onion"	3	2015-06-25 16:23:05
431	"onion"	7	2015-06-26 13:40:34
432	"onion"	3	2015-06-28 16:51:47
433	"tomato"	2	2015-08-01 17:57:19
434	"pineapple"	2	2015-10-30 06:43:13
435	"pineapple"	3	2015-11-01 11:29:09
436	"onion"	5	2015-07-31 21:44:20
437	"tomato"	2	2015-09-05 15:42:39
438	"pineapple"	2	2015-06-28 08:50:53
439	"onion"	3	2015-11-06 19:59:40
440	"tomato"	1	2015-08-20 19:06:30
441	"pineapple"	1	2015-08-06 09:53:29
442	"pineapple"	1	2015-09-05 08:40:58
443	"tomato"	2	2015-09-15 15:54:07
444	"tomato"	5	2015-09-11 13:08:45
445	"onion"	4	2015-07-16 20:08:34
446	"tomato"	2	2015-06-22 09:29:19
447	"tomato"	4	2015-08-19 21:25:36
448	"pineapple"	1	2015-10-17 09:01:17
449	"pineapple"	2	2015-11-05 11:49:34
450	"pineapple"	2	2015-09-14 06:23:41
451	"tomato"	2	2015-11-02 09:19:18
452	"onion"	3	2015-10-25 13:40:32
453	"tomato"	2	2015-07-31 17:04:00
454	"onion"	4	2015-06-17 21:15:56
455	"onion"	4	2015-06-30 18:39:17
456	"tomato"	1	2015-10-11 06:41:44
457	"onion"	3	2015-09-07 12:16:36
458	"tomato"	3	2015-07-23 21:00:29
459	"tomato"	1	2015-09-10 15:24:35
460	"onion"	4	2015-11-05 21:47:24
461	"onion"	4	2015-09-07 19:09:00
462	"tomato"	2	2015-08-12 15:30:03
463	"pineapple"	1	2015-10-24 09:42:54
464	"onion"	3	2015-06-17 18:01:01
465	"onion"	5	2015-08-23 19:49:06
466	"onion"	6	2015-09-23 21:12:17
467	"onion"	8	2015-10-14 16:35:24
468	"onion"	6	2015-11-06 17:15:22
469	"tomato"	4	2015-08-01 16:50:38
470	"onion"	4	2015-11-06 18:05:29
471	"onion"	2	2015-07-25 21:34:05
472	"tomato"	2	2015-06-20 17:57:00
473	"pineapple"	2	2015-06-30 08:10:37
474	"pineapple"	3	2015-10-14 10:14:28
475	"tomato"	1	2015-10-18 15:40:27
476	"tomato"	2	2015-07-12 09:29:29
477	"tomato"	2	2015-10-17 17:41:43
478	"tomato"	2	2015-09-23 18:31:03
479	"tomato"	2	2015-10-19 14:27:15
480	"pineapple"	3	2015-08-29 09:10:29
481	"onion"	2	2015-08-09 17:00:44
482	"tomato"	1	2015-09-19 21:39:43
483	"pineapple"	2	2015-07-26 07:32:27
484	"onion"	5	2015-08-27 19:24:55
485	"tomato"	1	2015-08-08 09:27:03
486	"onion"	2	2015-06-27 17:56:16
487	"tomato"	2	2015-07-08 19:37:25
488	"onion"	7	2015-06-16 14:44:08
489	"onion"	2	2015-07-04 18:03:21
490	"onion"	6	2015-08-13 19:05:31
491	"pineapple"	3	2015-09-01 08:11:02
492	"pineapple"	1	2015-07-16 06:07:29
493	"onion"	5	2015-09-13 17:49:51
494	"tomato"	1	2015-11-02 15:35:44
495	"tomato"	3	2015-10-13 13:56:05
496	"pineapple"	3	2015-07-25 08:04:05
497	"onion"	3	2015-07-05 17:25:08
498	"pineapple"	1	2015-06-22 10:03:33
499	"onion"	3	2015-09-13 08:26:19
500	"tomato"	1	2015-08-22 11:41:46
501	"pineapple"	3	2015-09-17 09:29:07
502	"onion"	5	2015-09-23 19:54:44
503	"tomato"	3	2015-08-09 19:32:00
504	"onion"	8	2015-10-17 16:26:25
505	"onion"	5	2015-09-07 17:34:56
506	"pineapple"	2	2015-09-29 08:23:35
507	"onion"	6	2015-07-30 21:24:43
508	"tomato"	2	2015-07-23 10:37:16
509	"onion"	5	2015-06-15 16:28:40
510	"tomato"	2	2015-10-21 18:10:33
511	"onion"	4	2015-07-29 21:28:44
512	"onion"	4	2015-09-01 13:12:36
513	"onion"	4	2015-07-30 19:38:23
514	"onion"	6	2015-07-25 20:22:45
515	"tomato"	1	2015-08-10 15:21:12
516	"onion"	6	2015-06-22 17:04:42
517	"pineapple"	1	2015-09-26 08:30:24
518	"onion"	1	2015-10-11 13:39:08
519	"tomato"	1	2015-07-12 18:48:53
520	"tomato"	3	2015-09-17 07:25:24
521	"tomato"	3	2015-09-07 17:45:57
522	"onion"	8	2015-10-04 16:31:08
523	"onion"	3	2015-11-01 18:33:59
524	"onion"	4	2015-07-12 17:59:03
525	"tomato"	2	2015-10-11 15:19:18
526	"onion"	5	2015-08-14 18:37:01
527	"onion"	4	2015-06-23 16:06:29
528	"tomato"	4	2015-08-29 14:00:55
529	"onion"	5	2015-10-12 20:54:52
530	"onion"	6	2015-10-04 19:23:43
531	"tomato"	2	2015-09-21 18:16:39
532	"onion"	3	2015-09-12 20:44:22
533	"onion"	5	2015-07-26 16:29:10
534	"onion"	6	2015-09-19 12:51:06
535	"onion"	7	2015-08-03 21:31:30
536	"onion"	8	2015-10-03 14:49:09
537	"tomato"	2	2015-08-18 16:59:59
538	"onion"	3	2015-10-08 20:52:54
539	"onion"	6	2015-09-24 14:50:29
540	"tomato"	2	2015-08-09 14:47:38
541	"onion"	8	2015-06-21 19:17:53
542	"pineapple"	3	2015-08-10 07:56:23
543	"pineapple"	1	2015-08-25 09:20:59
544	"onion"	6	2015-09-06 20:55:39
545	"tomato"	3	2015-09-23 12:30:27
546	"onion"	3	2015-06-27 18:50:02
547	"onion"	4	2015-11-02 18:26:36
548	"tomato"	4	2015-08-31 18:43:58
549	"onion"	3	2015-07-18 17:10:55
550	"pineapple"	3	2015-07-18 09:30:02
551	"pineapple"	2	2015-08-14 09:01:10
552	"tomato"	3	2015-07-26 18:05:41
553	"onion"	4	2015-09-30 15:16:45
554	"onion"	3	2015-07-21 16:48:31
555	"pineapple"	2	2015-08-11 06:42:20
556	"onion"	6	2015-08-04 17:14:12
557	"pineapple"	2	2015-06-20 08:51:26
558	"pineapple"	2	2015-10-04 07:51:13
559	"tomato"	2	2015-10-06 19:06:27
560	"onion"	3	2015-07-30 16:00:11
561	"tomato"	2	2015-08-01 13:28:12
562	"tomato"	3	2015-08-14 09:37:14
563	"onion"	10	2015-10-03 18:05:33
564	"onion"	7	2015-10-05 16:55:52
565	"onion"	5	2015-11-03 17:59:50
566	"onion"	5	2015-06-21 17:37:06
567	"tomato"	1	2015-08-05 14:38:05
568	"tomato"	2	2015-10-08 16:01:58
569	"pineapple"	2	2015-10-31 10:14:15
570	"onion"	2	2015-07-25 21:24:54
571	"onion"	4	2015-06-20 21:20:42
572	"pineapple"	2	2015-09-15 10:03:07
573	"onion"	10	2015-07-18 15:00:40
574	"onion"	5	2015-08-12 18:31:45
575	"onion"	7	2015-10-18 20:59:54
576	"tomato"	1	2015-09-15 18:24:40
577	"tomato"	2	2015-07-05 14:12:11
578	"onion"	4	2015-07-24 19:21:03
579	"tomato"	3	2015-07-15 11:56:57
580	"onion"	6	2015-07-19 20:08:44
581	"onion"	8	2015-07-18 18:19:06
582	"onion"	4	2015-10-08 18:46:30
583	"onion"	6	2015-07-01 17:20:31
584	"onion"	4	2015-10-14 17:38:44
585	"tomato"	1	2015-08-04 12:57:36
586	"onion"	9	2015-08-13 16:13:19
587	"pineapple"	2	2015-08-17 10:11:42
588	"onion"	5	2015-06-28 18:53:03
589	"tomato"	2	2015-09-24 13:16:31
590	"tomato"	2	2015-06-29 15:54:28
591	"tomato"	1	2015-07-22 21:22:18
592	"onion"	5	2015-06-23 18:41:43
593	"onion"	7	2015-07-23 15:23:37
594	"tomato"	2	2015-07-02 11:31:05
595	"tomato"	2	2015-07-06 07:39:53
596	"tomato"	2	2015-07-10 20:47:09
597	"tomato"	2	2015-10-25 14:23:23
598	"onion"	7	2015-10-04 18:05:39
599	"tomato"	3	2015-09-26 19:39:14
600	"tomato"	2	2015-08-19 17:07:04
601	"pineapple"	1	2015-11-04 08:40:00
602	"onion"	6	2015-07-12 13:14:20
603	"tomato"	2	2015-09-28 18:55:38
604	"pineapple"	2	2015-11-02 06:06:33
605	"tomato"	4	2015-10-24 16:28:10
606	"pineapple"	1	2015-09-20 13:02:22
607	"tomato"	2	2015-09-22 15:32:48
608	"onion"	4	2015-06-17 13:59:49
609	"onion"	4	2015-08-08 14:42:00
610	"tomato"	2	2015-06-15 14:45:13
611	"onion"	5	2015-07-22 18:44:32
612	"tomato"	4	2015-08-04 21:41:33
613	"onion"	3	2015-06-28 18:21:49
614	"onion"	4	2015-09-30 14:45:29
